average_speed_mph,average_heartrate,moving_time_h,total_elevation_gain
3.181,158.3,0.78,249
2.727,127.4,0.19,41
1.584,107,2.03,172
3.092,132.8,0.87,22
3.18,142.5,0.85,14
3.182,137.2,0.81,13
2.98,134.6,0.83,9
1.37,118.7,0.63,0
2.035,135.2,1.28,674
3.086,144,0.82,179
3.061,143.4,0.66,143
2.742,76,0.74,175
3.103,140.1,1.31,111
3.256,143.3,1,79
3.281,151.7,1.62,116
4.775,95.7,2.29,112
0,125,1.11,0
2.997,132.8,0.65,12
3.454,145.3,0.95,10
3.009,127.1,0.46,2
4.567,107.2,0.02,8
4.313,173.6,0.65,33
2.813,131,0.46,18
2.957,73.3,1.02,428
3.185,138.9,0.12,24
3.056,145.1,0.11,4
4.505,168.5,0.32,12
3.229,129.2,0.34,9
3.503,137.2,1.15,46
3.462,138.1,0.86,16
2.896,129.7,1.63,332
3.12,141.7,0.87,460
3.405,130,0.13,1
3.56,137.2,0.26,3
3.307,120.6,0.28,2
3.127,131.9,0.12,2
4.164,164.8,0.34,3
3.197,132.1,0.25,2
3.576,142.2,0.69,29
3.139,130.5,1.09,29
2.807,128.2,0.77,241
2.839,124.2,0.8,50
2.993,131.1,0.6,7
3.092,129.5,0.54,4
3.346,146.1,1.15,31
3.009,136.4,1.03,41
3.267,140,0.79,30
3.327,153,0.42,166
3.009,157.1,0.25,7
3.29,133.4,0.47,15
3.003,130.7,0.59,3
3.244,138,0.84,9
2.86,131.8,0.68,3
3.375,143.6,0.52,11
2.776,119.5,0.67,4
3.095,151.7,1.08,20
3.027,87.3,0.37,21
2.648,124,0.47,38
3.314,153.8,0.52,28
3.196,148.4,0.74,42
3.411,151.2,0.82,43
3.54,162.4,0.38,14
2.92,129.3,0.23,1
3.065,143.1,1.15,173
3.296,134.5,0.44,183
2.838,128.9,0.16,6
3.392,150.3,0.84,75
3.281,141.9,0.71,32
2.89,144.8,0.66,17
3.014,127.4,0.76,38
3.347,141.4,1.65,71
3.359,140.8,1.27,47
2.221,139.7,0.14,2
3.597,168.3,0.7,240
3.111,134.9,0.19,5
2.95,146.9,0.37,90
2.262,145.3,0.97,374
3.233,141.3,0.8,239
2.857,133.8,0.18,8
1.937,137.6,0.66,206
2.902,139.3,0.4,20
2.555,140.6,0.6,120
2.756,140.5,0.57,32
2.937,149.5,0.61,51
3.044,131.6,0.23,8
2.537,111.6,0.59,219
2.949,131.1,0.5,53
3.307,142.3,1.03,81
3.35,149.3,1.07,50
2.856,130.9,0.71,32
3.001,136.5,0.8,29
1.992,166.5,0.52,502
2.915,118.3,0.11,22
2.114,135.5,0.04,0
2.197,170.1,0.25,247
3.07,118.3,0.17,0
2.613,152.4,2.81,90
3.306,140.8,1.12,48
5.2,92.9,0.53,17
1.382,135.9,0.7,0
2.804,123.2,0.2,0
5.266,140.4,0.59,29
0.704,132.4,0.79,0
2.899,128.1,0.22,29
6.148,139.2,0.48,18
2.875,129.6,0.13,6
3.544,171.7,0.62,27
3.059,128.6,0.18,6
2.781,109.7,0.08,2
2.405,133.1,0.53,342
3.214,127,0.1,7
2.127,120.3,0.22,234
2.963,124,0.03,0
1.893,114.5,0.14,0
1.932,165.2,0.51,437
5.773,131.5,0.41,16
3.084,148.6,0.61,171
5.973,119.2,0.37,12
2.202,117.6,0.89,60
3.629,149.3,1.19,53
3.227,137,0.68,27
3.687,90,0.4,0
1.046,123.3,1.24,22
1.253,160.6,1.22,940
2.728,153.9,0.17,87
2.796,112.8,0.42,2
2.101,168.6,0.65,0
1.793,104,0.14,34
3.583,147.3,0.76,22
3.137,127.6,0.67,32
2.558,149.9,5.66,2120
3.424,142.3,0.75,27
3.186,143,1.14,42
3.383,137.9,0.94,42
3.525,150.1,1.22,47
3.108,130,0.73,31
3.47,148.1,1.18,35
3.369,150.7,1.46,55
2.892,136.8,0.96,141
3.282,144.5,0.83,36
3.06,135.4,0.28,17
3.865,162.3,0.25,5
3.065,126.2,0.3,9
3.283,141.5,1.09,46
2.139,133.3,0.96,341
2.665,128.6,0.72,84
2.365,122,0.73,124
2.161,121.9,1.77,560
2.958,112,0.6,110
2.779,128.6,0.63,96
2.212,111.5,0.32,57
2.233,117,0.32,61
2.912,120.7,0.27,16
3.109,144.7,0.39,31.8
0.085,110,0.28,0
2.963,122,0.31,5
3.403,150.1,0.82,16.5
1.787,163,0.16,135
0.675,114.6,0.22,114
1.961,118.1,0.27,31
2.687,169.3,1.19,818
3.353,145.3,1.31,69.2
3.224,143.2,0.72,24.6
2.902,178,0.29,257
3.182,136.3,0.73,24.6
3.021,118.6,0.21,0
0.931,102,0.38,158
3.572,155.4,0.65,14.5
3.277,142.3,0.49,14.4
3.29,137,0.24,0
3.48,142.3,0.82,16.6
3.031,131.3,0.81,14.7
3.447,140.3,0.76,16.5
2.162,157,1.36,395.8
2.128,122.6,0.3,59.2
2.005,156.3,0.64,82.8
1.585,121.1,0.13,64.9
2.893,130.4,0.19,36.2
1.991,141.1,1.76,349.1
3.271,138.7,0.73,10.7
3.196,146.1,0.83,14.6
3.254,140.8,0.29,0
3.258,146.4,0.68,14.6
3.425,147.6,0.56,14.1
4.308,185.9,0.42,10.1
2.942,168.5,0.21,0
3.204,147.8,0.7,26.1
3.564,157.3,0.77,26.1
2.368,121.9,0.25,47.8
3.484,147.9,1.29,70.7
