,year,month,tmax,tmin,af,rain,sun,station,day,datetime
0,1941.0,1.0,,,,74.7,,aberporth,1,1941-01-01
1,1941.0,2.0,,,,69.1,,aberporth,1,1941-02-01
2,1941.0,3.0,,,,76.2,,aberporth,1,1941-03-01
3,1941.0,4.0,,,,33.7,,aberporth,1,1941-04-01
4,1941.0,5.0,,,,51.3,,aberporth,1,1941-05-01
5,1941.0,6.0,,,,25.7,,aberporth,1,1941-06-01
6,1941.0,7.0,,,,53.9,,aberporth,1,1941-07-01
7,1941.0,8.0,,,,91.8,,aberporth,1,1941-08-01
8,1941.0,9.0,,,,25.5,,aberporth,1,1941-09-01
9,1941.0,10.0,,,,106.2,,aberporth,1,1941-10-01
10,1941.0,11.0,,,,92.3,,aberporth,1,1941-11-01
11,1941.0,12.0,,,,86.5,,aberporth,1,1941-12-01
12,1942.0,1.0,5.8,2.1,,114.0,58.0,aberporth,1,1942-01-01
13,1942.0,2.0,4.2,-0.6,,13.8,80.3,aberporth,1,1942-02-01
14,1942.0,3.0,9.7,3.7,,58.0,117.9,aberporth,1,1942-03-01
15,1942.0,4.0,13.1,5.3,,42.5,200.1,aberporth,1,1942-04-01
16,1942.0,5.0,14.0,6.9,,101.1,215.1,aberporth,1,1942-05-01
17,1942.0,6.0,16.2,9.9,,2.3,269.3,aberporth,1,1942-06-01
18,1942.0,7.0,17.4,11.3,,70.2,185.0,aberporth,1,1942-07-01
19,1942.0,8.0,18.7,12.3,,78.5,141.9,aberporth,1,1942-08-01
20,1942.0,9.0,16.4,10.7,,146.8,129.1,aberporth,1,1942-09-01
21,1942.0,10.0,13.1,8.2,,131.1,82.1,aberporth,1,1942-10-01
22,1942.0,11.0,9.2,4.6,,19.8,62.9,aberporth,1,1942-11-01
23,1942.0,12.0,9.6,6.2,,183.9,31.4,aberporth,1,1942-12-01
24,1943.0,1.0,8.2,3.5,,176.7,41.4,aberporth,1,1943-01-01
25,1943.0,2.0,8.9,4.6,,65.4,68.6,aberporth,1,1943-02-01
26,1943.0,3.0,10.2,4.1,,21.0,156.2,aberporth,1,1943-03-01
27,1943.0,4.0,13.0,6.8,,39.4,178.3,aberporth,1,1943-04-01
28,1943.0,5.0,14.1,7.4,,83.5,233.3,aberporth,1,1943-05-01
29,1943.0,6.0,15.9,9.8,,58.7,223.8,aberporth,1,1943-06-01
30,1943.0,7.0,18.6,11.7,,57.3,240.5,aberporth,1,1943-07-01
31,1943.0,8.0,18.1,12.0,,86.5,148.0,aberporth,1,1943-08-01
32,1943.0,9.0,15.8,10.0,,127.1,110.6,aberporth,1,1943-09-01
33,1943.0,10.0,13.6,8.3,,120.3,93.7,aberporth,1,1943-10-01
34,1943.0,11.0,9.7,5.9,,93.0,47.4,aberporth,1,1943-11-01
35,1943.0,12.0,6.9,2.7,,63.6,75.3,aberporth,1,1943-12-01
36,1944.0,1.0,9.2,5.8,,87.9,23.7,aberporth,1,1944-01-01
37,1944.0,2.0,6.5,3.1,,34.0,72.5,aberporth,1,1944-02-01
38,1944.0,3.0,8.6,3.1,,17.0,153.2,aberporth,1,1944-03-01
39,1944.0,4.0,12.7,6.6,,44.9,157.1,aberporth,1,1944-04-01
40,1944.0,5.0,13.8,7.0,,37.2,242.3,aberporth,1,1944-05-01
