ID,ActivityDate,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,Calories
1503960366,12.04.16 00:00,13162,8.5,1.879999995,0.550000012,6.059999943,25,13,328,1985
1503960366,13.04.16 00:00,10735,6.96999979,1.570000052,0.689999998,4.710000038,21,19,217,
1503960366,14.04.16 00:00,10460,6.739999771,2.440000057,0.400000006,3.910000086,30,11,181,1776
1503960366,15.04.16 00:00,9762,6.28000021,2.140000105,1.25999999,2.829999924,29,34,209,1745
1503960366,16.04.16 00:00,12669,8.159999847,2.710000038,0.409999996,5.039999962,36,10,221,1863
1503960366,17.04.16 00:00,9705,6.480000019,3.190000057,0.779999971,2.50999999,38,20,164,1728
1503960366,18.04.16 00:00,13019,8.590000153,3.25,0.639999986,4.710000038,42,16,233,1921
1503960366,19.04.16 00:00,15506,9.880000114,3.529999971,1.320000052,5.03000021,50,31,264,2035
1503960366,20.04.16 00:00,10544,6.679999828,1.960000038,0.479999989,4.239999771,28,12,205,1786
1503960366,21.04.16 00:00,9819,6.340000153,1.340000033,0.349999994,4.650000095,19,8,211,1775
1503960366,22.04.16 00:00,,8.130000114,4.760000229,1.120000005,2.24000001,66,27,130,
1503960366,23.04.16 00:00,14371,9.039999962,2.809999943,0.870000005,5.360000134,41,21,262,1949
1503960366,24.04.16 00:00,10039,6.409999847,2.920000076,0.209999993,3.279999971,39,5,238,1788
1503960366,25.04.16 00:00,15355,9.800000191,5.289999962,0.569999993,3.940000057,73,14,216,2013
1503960366,26.04.16 00:00,13755,8.789999962,2.329999924,0.920000017,5.539999962,31,23,279,1970
1503960366,27.04.16 00:00,18134,12.21000004,6.400000095,0.409999996,5.409999847,78,11,243,2159
1503960366,28.04.16 00:00,13154,8.529999733,3.539999962,1.159999967,3.789999962,48,28,189,1898
1503960366,29.04.16 00:00,11181,7.150000095,1.059999943,0.5,5.579999924,16,12,243,1837
1503960366,30.04.16 00:00,14673,9.25,3.559999943,1.419999957,4.269999981,52,34,217,1947
1503960366,01.05.16 00:00,10602,6.809999943,2.289999962,1.600000024,2.920000076,33,35,246,1820
1503960366,02.05.16 00:00,14727,9.710000038,3.210000038,0.569999993,5.920000076,41,15,277,2004
1503960366,03.05.16 00:00,15103,9.659999847,3.730000019,1.049999952,4.880000114,50,24,254,1990
1503960366,04.05.16 00:00,11100,7.150000095,2.460000038,0.870000005,3.819999933,36,22,203,1819
1503960366,05.05.16 00:00,14070,8.899999619,2.920000076,1.080000043,4.880000114,45,24,250,1959
1503960366,06.05.16 00:00,12159,8.029999733,1.970000029,0.25,5.809999943,24,6,289,1896
1503960366,07.05.16 00:00,11992,7.710000038,2.460000038,2.119999886,3.130000114,37,46,175,1821
